sample,first_parent_index,sha,n0,m,delta_m,a,m_bin,delta_m_bin,a_bin,m_from_log,revert_commit,event_sample,roll_baseline_sample,n0_roll,m_roll,delta_m_roll,a_roll,m_from_log_roll
0,0,1f6c87ca7b9351b2e5c5363504796fce0554c9b8,4506,0.0,,,0.0,,,0.0,0,0,0,4506,0.0,,,0.0
1,25,c31e356a10aa60b5967b9aaf80b9984059e46461,4506,0.009986684420772303,0.009986684420772303,,1.0,1.0,,0.009986684420772303,0,0,0,4506,0.009986684420772303,0.009986684420772303,,0.009986684420772303
2,50,7116030a25f7dd2140ef3e889f3f5471334d6d0b,4506,0.017310252996005325,0.007323568575233022,-0.0026631158455392816,1.0,0.0,-1.0,0.017310252996005325,0,0,0,4506,0.017310252996005325,0.007323568575233022,-0.0026631158455392816,0.017310252996005325
3,75,2e80c2a976c13dcb69a654b386164dca362295a3,4506,0.024855747891699954,0.007545494895694629,0.00022192632046160767,1.0,0.0,0.0,0.024855747891699954,0,1,0,4506,0.024855747891699954,0.007545494895694629,0.00022192632046160767,0.024855747891699954
4,100,005e69403d638f9ff8f71e59960c600016e101a4,4506,0.05059920106524634,0.025743453173546385,0.018197958277851756,1.0,0.0,0.0,0.05059920106524634,0,0,0,4506,0.05059920106524634,0.025743453173546385,0.018197958277851756,0.05059920106524634
5,125,1de4395f62bb140563761ef5cbdf46accef3c550,4506,0.059254327563249,0.008655126498002659,-0.017088326675543726,1.0,0.0,0.0,0.059254327563249,0,0,0,4506,0.059254327563249,0.008655126498002659,-0.017088326675543726,0.059254327563249
6,150,73497690b5debe01ba94ffefbecee034e39e8627,4506,0.06391478029294274,0.004660452729693745,-0.003994673768308914,1.0,0.0,0.0,0.06391478029294274,0,0,0,4506,0.06391478029294274,0.004660452729693745,-0.003994673768308914,0.06391478029294274
7,175,5d868efde9ea08b39357b962a02a0294aa97689c,4506,0.06857523302263649,0.004660452729693745,0.0,1.0,0.0,0.0,0.06857523302263649,0,1,0,4506,0.06857523302263649,0.004660452729693745,0.0,0.06857523302263649
8,200,73245d084e383b5bc3affedc9444e6b6c881c546,4506,0.07035064358632934,0.0017754105636928474,-0.002885042166000898,1.0,0.0,0.0,0.07035064358632934,0,0,0,4506,0.07035064358632934,0.0017754105636928474,-0.002885042166000898,0.07035064358632934
9,225,7a3752338a2bfea023fcb119c842750fe799262f,4506,0.07811806480248558,0.007767421216156242,0.005992010652463395,1.0,0.0,0.0,0.07811806480248558,0,0,0,4506,0.07811806480248558,0.007767421216156242,0.005992010652463395,0.07811806480248558
10,250,0675b8f032c69d265468b31d5cadac6a7ce4bd9c,4506,0.08344429649356414,0.005326231691078556,-0.002441189525077686,1.0,0.0,0.0,0.08344429649356414,0,1,0,4506,0.08344429649356414,0.005326231691078556,-0.002441189525077686,0.08344429649356414
11,275,0672a6c23b2b72666e10d9c61fc025e66aad9c2b,4506,0.08965823346648913,0.006213936972924994,0.0008877052818464376,1.0,0.0,0.0,0.08965823346648913,1,1,0,4506,0.08965823346648913,0.006213936972924994,0.0008877052818464376,0.08965823346648913
12,300,b2b85b5db9cfdb24f966b61757536a898abc3830,4506,0.09343098091433644,0.0037727474478473078,-0.002441189525077686,1.0,0.0,0.0,0.09343098091433644,0,0,0,4506,0.09343098091433644,0.0037727474478473078,-0.002441189525077686,0.09343098091433644
13,325,b41c47cd0606e8273aef4813e83fe2deaf9ab33b,4506,0.10053262316910785,0.0071016422547714175,0.0033288948069241098,1.0,0.0,0.0,0.10053262316910785,0,0,0,4506,0.10053262316910785,0.0071016422547714175,0.0033288948069241098,0.10053262316910785
14,350,0c6fe81dce9d6bb1dce5e4503f1b42bc5355ba24,4506,0.10386151797603196,0.0033288948069241098,-0.0037727474478473078,1.0,0.0,0.0,0.10386151797603196,0,0,0,4506,0.10386151797603196,0.0033288948069241098,-0.0037727474478473078,0.10386151797603196
