sample,first_parent_index,sha,n0,m,delta_m,a,m_bin,delta_m_bin,a_bin,m_from_log,revert_commit,event_sample,roll_baseline_sample,n0_roll,m_roll,delta_m_roll,a_roll,m_from_log_roll
0,0,174d8157b5700f6451ac0bdc3eef7e73121bc4a4,6657,0.0,,,0.0,,,0.0,0,0,0,6657,0.0,,,0.0
1,25,dd68af62b2b27ece50d434f6a351877212e15c3f,6657,0.009764158029142257,0.009764158029142257,,1.0,1.0,,0.009764158029142257,0,0,0,6657,0.009764158029142257,0.009764158029142257,,0.009764158029142257
2,50,490cccbe7e83874923b276eed26cc23b0db5ebb9,6657,0.022682890190776628,0.012918732161634371,0.0031545741324921148,1.0,0.0,-1.0,0.022682890190776628,0,0,0,6657,0.022682890190776628,0.012918732161634371,0.0031545741324921148,0.022682890190776628
3,75,71d1203b07d3092062aa9ebc0ab198abfc144d54,6657,0.03470031545741325,0.01201742526663662,-0.0009013068949977505,1.0,0.0,0.0,0.03470031545741325,0,0,0,6657,0.03470031545741325,0.01201742526663662,-0.0009013068949977505,0.03470031545741325
4,100,5cd1385356d4b275133ddb0f8c78b2f37c5901eb,6657,0.047769265434880574,0.013068949977467326,0.001051524710830705,1.0,0.0,0.0,0.047769265434880574,0,0,0,6657,0.047769265434880574,0.013068949977467326,0.001051524710830705,0.047769265434880574
5,125,017fa23d3b0aee9142f531c2a0002fc86c82a54c,6657,0.08126783836563016,0.033498572930749586,0.02042962295328226,1.0,0.0,0.0,0.08126783836563016,0,0,0,6657,0.08126783836563016,0.033498572930749586,0.02042962295328226,0.08126783836563016
6,150,b6ed389eec3e72d50301f456d711496331abd7b3,6657,0.09493765960642932,0.013669821240799157,-0.01982875168995043,1.0,0.0,0.0,0.09493765960642932,0,0,0,6657,0.09493765960642932,0.013669821240799157,-0.01982875168995043,0.09493765960642932
7,175,eacf6b73d8eace004f840bd9b80c8c671caab9da,6657,0.09974462971308397,0.004806970106654651,-0.008862851134144506,1.0,0.0,0.0,0.09974462971308397,0,0,0,6657,0.09974462971308397,0.004806970106654651,-0.008862851134144506,0.09974462971308397
8,200,14459f80ee3a9e005989db37c26fd13bb6d2fab2,6657,0.11236292624305243,0.012618296529968459,0.007811326423313808,1.0,0.0,0.0,0.11236292624305243,0,0,0,6657,0.11236292624305243,0.012618296529968459,0.007811326423313808,0.11236292624305243
9,225,32d4b61c313be5169137047e9fb3668da20a5d89,6657,0.11611837163887637,0.003755445395823939,-0.00886285113414452,1.0,0.0,0.0,0.11611837163887637,0,1,0,6657,0.11611837163887637,0.003755445395823939,-0.00886285113414452,0.11611837163887637
10,250,b4870e71966db208e1dd3ab74c8a7beb7388f725,6657,0.11927294577136849,0.0031545741324921217,-0.0006008712633318175,1.0,0.0,0.0,0.11927294577136849,0,1,0,6657,0.11927294577136849,0.0031545741324921217,-0.0006008712633318175,0.11927294577136849
11,275,080e13a6ef9c896bba0f272c68d7d03696058955,6657,0.12167643082469581,0.0024034850533273255,-0.0007510890791647962,1.0,0.0,0.0,0.12167643082469581,0,0,0,6657,0.12167643082469581,0.0024034850533273255,-0.0007510890791647962,0.12167643082469581
12,300,4bf4222010fd8e413963c6c873e4088614332ef9,6657,0.15863001351960343,0.036953582694907616,0.03455009764158029,1.0,0.0,0.0,0.15863001351960343,0,1,0,6657,0.15863001351960343,0.036953582694907616,0.03455009764158029,0.15863001351960343
13,325,2a577853639a5f2ca14822acc593104f2846597c,6657,0.16178458765209555,0.0031545741324921217,-0.033799008562415495,1.0,0.0,0.0,0.16178458765209555,0,1,0,6657,0.16178458765209555,0.0031545741324921217,-0.033799008562415495,0.16178458765209555
14,350,070cbac0dbf6a09b55aad322137ab168b75bf56b,6657,0.16493916178458765,0.003154574132492094,-2.7755575615628914e-17,1.0,0.0,0.0,0.16493916178458765,1,1,0,6657,0.16493916178458765,0.003154574132492094,-2.7755575615628914e-17,0.16493916178458765
15,375,c494c6974dd0e7c5a43ea3e220b34641abc3ba29,6657,0.16704221120624907,0.0021030494216614237,-0.0010515247108306702,1.0,0.0,0.0,0.16704221120624907,0,1,0,6657,0.16704221120624907,0.0021030494216614237,-0.0010515247108306702,0.16704221120624907
16,400,89f10a80d7e681cd0cccf22d932e380f51bd3524,6657,0.16989634970707526,0.002854138500826192,0.0007510890791647684,1.0,0.0,0.0,0.16989634970707526,0,0,0,6657,0.16989634970707526,0.002854138500826192,0.0007510890791647684,0.16989634970707526
17,425,89c27d867252d7c81be3de7184578db1934a9318,6657,0.17245005257623555,0.0025537028691602903,-0.0003004356316659018,1.0,0.0,0.0,0.17245005257623555,0,1,0,6657,0.17245005257623555,0.0025537028691602903,-0.0003004356316659018,0.17245005257623555
18,450,45466f11f200914cde2a4b5533441b93015ea14e,6657,0.17455310199789695,0.002103049421661396,-0.00045065344749889436,1.0,0.0,0.0,0.17455310199789695,0,0,0,6657,0.17455310199789695,0.002103049421661396,-0.00045065344749889436,0.17455310199789695
19,475,1754c2c8026ab592183821c3933972a8aa7acc66,6657,0.17620549797205948,0.0016523959741625294,-0.0004506534474988666,1.0,0.0,0.0,0.17620549797205948,0,0,0,6657,0.17620549797205948,0.0016523959741625294,-0.0004506534474988666,0.17620549797205948
20,500,601ffb0da3a8c3900164b356c585650c00d238b0,6657,0.17875920084121977,0.0025537028691602903,0.000901306894997761,1.0,0.0,0.0,0.17875920084121977,0,0,20,6708,0.0,-0.17620549797205948,-0.177857893946222,0.0
21,525,fb1c7635065321d415ad8182caf986a824bf9650,6657,0.18266486405287666,0.00390566321165689,0.0013519603424965998,1.0,0.0,0.0,0.18266486405287666,0,1,20,6708,0.011926058437686345,0.011926058437686345,0.18813155640974583,0.011926058437686345
22,550,595a2abb58e04caa4d55fb2589bb80fb2a8fdfa1,6657,0.18491813129037105,0.0022532672374943885,-0.0016523959741625016,1.0,0.0,0.0,0.18491813129037105,0,0,20,6708,0.018336314847942754,0.006410256410256408,-0.005515802027429937,0.018336314847942754
23,575,24068058a63c506c300629fcc491601abc968926,6657,0.18596965600120174,0.001051524710830698,-0.0012017425266636905,1.0,0.0,0.0,0.18596965600120174,0,0,20,6708,0.0216159809183065,0.0032796660703637466,-0.0031305903398926617,0.0216159809183065
24,600,6b965c600054f970bdf94017ecf2e0e6e0a4326b,6657,0.18987531921285863,0.00390566321165689,0.002854138500826192,1.0,0.0,0.0,0.18987531921285863,0,0,20,6708,0.031007751937984496,0.009391771019677995,0.006112104949314249,0.031007751937984496
25,625,68a8996bdfce2d191decd7b1c1a2b9fdea8e4b2f,6657,0.19272945771368485,0.00285413850082622,-0.0010515247108306702,1.0,0.0,0.0,0.19272945771368485,0,0,20,6708,0.03771615980918307,0.006708407871198571,-0.0026833631484794243,0.03771615980918307
26,650,ecb6085f6fdb6319656b54cc92e6a91c1df47f23,6657,0.19468228931951329,0.0019528316058284312,-0.0009013068949977887,1.0,0.0,0.0,0.19468228931951329,0,0,20,6708,0.04442456768038163,0.006708407871198564,-6.938893903907228e-18,0.04442456768038163
27,675,190874eadd0c6dcaae0c244cc47e838cf0faf24d,6657,0.19543337839867808,0.0007510890791647962,-0.001201742526663635,1.0,0.0,0.0,0.19543337839867808,0,0,20,6708,0.04800238521168754,0.003577817531305906,-0.0031305903398926582,0.04800238521168754
28,700,7c1cf585e80114b6e531b40bd2954406d033afe3,6657,0.19798708126783837,0.0025537028691602903,0.0018026137899954942,1.0,0.0,0.0,0.19798708126783837,0,0,20,6708,0.061270125223613595,0.013267740011926057,0.009689922480620151,0.061270125223613595
29,725,f4e72e6523e6968d9628dfbff914ab57dbf19e6b,6657,0.19873817034700317,0.0007510890791647962,-0.0018026137899954942,1.0,0.0,0.0,0.19873817034700317,0,0,20,6708,0.06305903398926654,0.0017889087656529495,-0.011478831246273108,0.06305903398926654
30,750,3b4a571275d967512866012955eb0b3ae486d63c,6657,0.1988883881628361,0.00015021781583293703,-0.0006008712633318591,1.0,0.0,0.0,0.1988883881628361,0,0,20,6708,0.06454979129397734,0.0014907573047107936,-0.00029815146094215594,0.06454979129397734
31,775,fdd1323b9c83e56184e0c992af8faf8d54327775,6657,0.1996394772420009,0.0007510890791647962,0.0006008712633318591,1.0,0.0,0.0,0.1996394772420009,0,0,20,6708,0.06589147286821706,0.0013416815742397226,-0.00014907573047107103,0.06589147286821706
32,800,116e225266c511dfc0bfc96c8497e9c8aaa4d004,6657,0.2006910019528316,0.001051524710830698,0.0003004356316659018,1.0,0.0,0.0,0.2006910019528316,0,0,20,6708,0.06887298747763863,0.0029815146094215733,0.0016398330351818508,0.06887298747763863
33,825,eec7e9ba894a7815d289ba7446eeead488fe0e33,6657,0.20114165540033047,0.0004506534474988666,-0.0006008712633318314,1.0,0.0,0.0,0.20114165540033047,0,1,20,6708,0.07081097197376267,0.0019379844961240345,-0.0010435301132975389,0.07081097197376267
34,850,a89c715c3bcf7ab1a90747cf8658ebce6304b6e4,6657,0.20129187321616343,0.00015021781583296479,-0.0003004356316659018,1.0,0.0,0.0,0.20129187321616343,0,0,20,6708,0.07185450208706022,0.0010435301132975527,-0.0008944543828264817,0.07185450208706022
35,875,06c5cb1284557edc05f963afb6f6bcdd55b00911,6657,0.20294426919032596,0.0016523959741625294,0.0015021781583295646,1.0,0.0,0.0,0.20294426919032596,0,0,20,6708,0.0755813953488372,0.003726893261776984,0.0026833631484794312,0.0755813953488372
36,900,0ee2b8c326d47387bacb713a3ab369fa9a7a22ee,6657,0.2445546041760553,0.04161033498572933,0.0399579390115668,1.0,0.0,0.0,0.2445546041760553,0,0,20,6708,0.13506261180679785,0.059481216457960645,0.05575432319618366,0.13506261180679785
37,925,d6c868a184e01f44302e8d31130fe1321208a6af,6657,0.24515547543938712,0.0006008712633318314,-0.0410094637223975,1.0,0.0,0.0,0.24515547543938712,0,0,20,6708,0.13640429338103757,0.0013416815742397226,-0.05813953488372092,0.13640429338103757
38,950,21b0b23a67ee1aa1a35f7f64cd8fe997e4de89d7,6657,0.24710830704521555,0.0019528316058284312,0.0013519603424965998,1.0,0.0,0.0,0.24710830704521555,0,0,20,6708,0.139087656529517,0.0026833631484794174,0.0013416815742396948,0.139087656529517
39,965,d88ec42bd0a37340c8477a6f20bf26e58bd84735,6657,0.24921135646687698,0.0021030494216614237,0.00015021781583299254,1.0,0.0,0.0,0.24921135646687698,0,0,20,6708,0.1440071556350626,0.004919499105545622,0.0022361359570662043,0.1440071556350626
