sample,first_parent_index,sha,n0,m,delta_m,a,m_bin,delta_m_bin,a_bin,m_from_log,revert_commit,event_sample
0,0,1f6c87ca7b9351b2e5c5363504796fce0554c9b8,0,0.0,,,0.0,,,0.0,0,0
1,25,c31e356a10aa60b5967b9aaf80b9984059e46461,4506,0.009986684420772303,0.009986684420772303,,1.0,1.0,,0.009986684420772303,0,0
2,50,7116030a25f7dd2140ef3e889f3f5471334d6d0b,4518,0.009074811863656485,-0.0009118725571158181,-0.010898556977888121,1.0,0.0,-1.0,0.009074811863656485,0,0
3,75,2e80c2a976c13dcb69a654b386164dca362295a3,4533,0.008603573792190603,-0.0004712380714658824,0.0004406344856499357,1.0,0.0,0.0,0.008603573792190603,0,1
4,100,005e69403d638f9ff8f71e59960c600016e101a4,4544,0.03807218309859155,0.029468609306400946,0.029939847377866827,1.0,0.0,0.0,0.03807218309859155,0,0
5,125,1de4395f62bb140563761ef5cbdf46accef3c550,4442,0.015983791085096802,-0.022088392013494745,-0.05155700131989569,1.0,0.0,0.0,0.015983791085096802,0,0
6,150,73497690b5debe01ba94ffefbecee034e39e8627,4452,0.010557053009883199,-0.005426738075213603,0.016661653938281142,1.0,0.0,0.0,0.010557053009883199,0,0
7,175,5d868efde9ea08b39357b962a02a0294aa97689c,4459,0.009194886745907155,-0.0013621662639760439,0.004064571811237559,1.0,0.0,0.0,0.009194886745907155,0,1
8,200,73245d084e383b5bc3affedc9444e6b6c881c546,4470,0.008053691275167786,-0.0011411954707393687,0.00022097079323667515,1.0,0.0,0.0,0.008053691275167786,0,0
9,225,7a3752338a2bfea023fcb119c842750fe799262f,4478,0.01652523447967843,0.008471543204510643,0.009612738675250011,1.0,0.0,0.0,0.01652523447967843,0,0
10,250,0675b8f032c69d265468b31d5cadac6a7ce4bd9c,4487,0.008914642299977713,-0.0076105921797007155,-0.016082135384211358,1.0,0.0,0.0,0.008914642299977713,0,1
11,275,0672a6c23b2b72666e10d9c61fc025e66aad9c2b,4490,0.013363028953229399,0.004448386653251686,0.012058978832952401,1.0,0.0,0.0,0.013363028953229399,1,1
