sample,first_parent_index,sha,n0,m,delta_m,a,m_bin,delta_m_bin,a_bin,m_from_log,revert_commit,event_sample
0,0,174d8157b5700f6451ac0bdc3eef7e73121bc4a4,0,0.0,,,0.0,,,0.0,0,0
1,25,dd68af62b2b27ece50d434f6a351877212e15c3f,6657,0.009764158029142257,0.009764158029142257,,1.0,1.0,,0.009764158029142257,0,0
2,50,490cccbe7e83874923b276eed26cc23b0db5ebb9,6659,0.016368824147769936,0.006604666118627679,-0.0031594919105145773,1.0,0.0,-1.0,0.016368824147769936,0,0
3,75,71d1203b07d3092062aa9ebc0ab198abfc144d54,6664,0.015156062424969988,-0.001212761722799948,-0.007817427841427627,1.0,0.0,0.0,0.015156062424969988,0,0
4,100,5cd1385356d4b275133ddb0f8c78b2f37c5901eb,6647,0.018805476154656237,0.0036494137296862496,0.004862175452486198,1.0,0.0,0.0,0.018805476154656237,0,0
5,125,017fa23d3b0aee9142f531c2a0002fc86c82a54c,6640,0.04066265060240964,0.0218571744477534,0.01820776071806715,1.0,0.0,0.0,0.04066265060240964,0,0
6,150,b6ed389eec3e72d50301f456d711496331abd7b3,6644,0.023780854906682723,-0.016881795695726915,-0.038738970143480315,1.0,0.0,0.0,0.023780854906682723,0,0
7,175,eacf6b73d8eace004f840bd9b80c8c671caab9da,6647,0.010380622837370242,-0.013400232069312481,0.0034815636264144342,1.0,0.0,0.0,0.010380622837370242,0,0
8,200,14459f80ee3a9e005989db37c26fd13bb6d2fab2,6650,0.03458646616541353,0.02420584332804329,0.037606075397355776,1.0,0.0,0.0,0.03458646616541353,0,0
9,225,32d4b61c313be5169137047e9fb3668da20a5d89,6650,0.0081203007518797,-0.026466165413533832,-0.050672008741577124,1.0,0.0,0.0,0.0081203007518797,0,1
10,250,b4870e71966db208e1dd3ab74c8a7beb7388f725,6652,0.00947083583884546,0.001350535086965761,0.027816700500499593,1.0,0.0,0.0,0.00947083583884546,0,1
11,275,080e13a6ef9c896bba0f272c68d7d03696058955,6653,0.0073650984518262436,-0.002105737387019217,-0.003456272473984978,1.0,0.0,0.0,0.0073650984518262436,0,0
12,300,4bf4222010fd8e413963c6c873e4088614332ef9,6656,0.040865384615384616,0.03350028616355837,0.03560602355057759,1.0,0.0,0.0,0.040865384615384616,0,1
13,325,2a577853639a5f2ca14822acc593104f2846597c,6688,0.01270933014354067,-0.028156054471843946,-0.06165634063540232,1.0,0.0,0.0,0.01270933014354067,0,1
14,350,070cbac0dbf6a09b55aad322137ab168b75bf56b,6690,0.007174887892376682,-0.005534442251163989,0.022621612220679956,1.0,0.0,0.0,0.007174887892376682,1,1
15,375,c494c6974dd0e7c5a43ea3e220b34641abc3ba29,6694,0.008664475649835674,0.0014895877574589928,0.007024030008622981,1.0,0.0,0.0,0.008664475649835674,0,1
16,400,89f10a80d7e681cd0cccf22d932e380f51bd3524,6695,0.01299477221807319,0.004330296568237515,0.0028407088107785224,1.0,0.0,0.0,0.01299477221807319,0,0
17,425,89c27d867252d7c81be3de7184578db1934a9318,6697,0.00657010601761983,-0.0064246662004533595,-0.010754962768690875,1.0,0.0,0.0,0.00657010601761983,0,1
18,450,45466f11f200914cde2a4b5533441b93015ea14e,6698,0.005524037025977904,-0.0010460689916419264,0.005378597208811433,1.0,0.0,0.0,0.005524037025977904,0,0
19,475,1754c2c8026ab592183821c3933972a8aa7acc66,6702,0.006266786034019696,0.0007427490080417921,0.0017888179996837185,1.0,0.0,0.0,0.006266786034019696,0,0
20,500,601ffb0da3a8c3900164b356c585650c00d238b0,6704,0.008502386634844868,0.0022356006008251725,0.0014928515927833804,1.0,0.0,0.0,0.008502386634844868,0,0
21,525,fb1c7635065321d415ad8182caf986a824bf9650,6708,0.011926058437686345,0.003423671802841477,0.0011880712020163045,1.0,0.0,0.0,0.011926058437686345,0,1
22,550,595a2abb58e04caa4d55fb2589bb80fb2a8fdfa1,6702,0.008206505520740077,-0.003719552916946268,-0.007143224719787745,1.0,0.0,0.0,0.008206505520740077,0,0
23,575,24068058a63c506c300629fcc491601abc968926,6708,0.00641025641025641,-0.0017962491104836671,0.001923303806462601,1.0,0.0,0.0,0.00641025641025641,0,0
24,600,6b965c600054f970bdf94017ecf2e0e6e0a4326b,6711,0.012367754433020415,0.0059574980227640045,0.007753747133247672,1.0,0.0,0.0,0.012367754433020415,0,0
25,625,68a8996bdfce2d191decd7b1c1a2b9fdea8e4b2f,6714,0.008340780458742925,-0.00402697397427749,-0.009984471997041494,1.0,0.0,0.0,0.008340780458742925,0,0
26,650,ecb6085f6fdb6319656b54cc92e6a91c1df47f23,6724,0.013236168947055324,0.0048953884883124,0.00892236246258989,1.0,0.0,0.0,0.013236168947055324,0,0
27,675,190874eadd0c6dcaae0c244cc47e838cf0faf24d,6732,0.008021390374331552,-0.005214778572723773,-0.010110167061036172,1.0,0.0,0.0,0.008021390374331552,0,0
28,700,7c1cf585e80114b6e531b40bd2954406d033afe3,6733,0.0212386751819397,0.01321728480760815,0.018432063380331924,1.0,0.0,0.0,0.0212386751819397,0,0
29,725,f4e72e6523e6968d9628dfbff914ab57dbf19e6b,6732,0.008318478906714201,-0.0129201962752255,-0.02613748108283365,1.0,0.0,0.0,0.008318478906714201,0,0
30,750,3b4a571275d967512866012955eb0b3ae486d63c,6734,0.006237006237006237,-0.0020814726697079636,0.010838723605517537,1.0,0.0,0.0,0.006237006237006237,0,0
31,775,fdd1323b9c83e56184e0c992af8faf8d54327775,6735,0.005493689680772086,-0.0007433165562341516,0.001338156113473812,1.0,0.0,0.0,0.005493689680772086,0,0
32,800,116e225266c511dfc0bfc96c8497e9c8aaa4d004,6738,0.009201543484713566,0.00370785380394148,0.0044511703601756315,1.0,0.0,0.0,0.009201543484713566,0,0
33,825,eec7e9ba894a7815d289ba7446eeead488fe0e33,6740,0.007863501483679525,-0.0013380420010340403,-0.00504589580497552,1.0,0.0,0.0,0.007863501483679525,0,1
34,850,a89c715c3bcf7ab1a90747cf8658ebce6304b6e4,6740,0.005934718100890208,-0.0019287833827893175,-0.0005907413817552772,1.0,0.0,0.0,0.005934718100890208,0,0
35,875,06c5cb1284557edc05f963afb6f6bcdd55b00911,6740,0.009792284866468843,0.003857566765578635,0.0057863501483679525,1.0,0.0,0.0,0.009792284866468843,0,0
