window,repo,split,w,e,max_a_pos,max_a_neg,d_a,max_abs_dm_pos,max_abs_dm_neg,d_abs_dm
d1,django/django,train,5,10,0.037606075397355776,0.004862175452486198,0.03274389994486958,0.026466165413533832,0.009764158029142257,0.016702007384391575
d1,django/django,train,5,12,0.037606075397355776,0.01820776071806715,0.019398314679288625,0.026466165413533832,0.0218571744477534,0.004608990965780432
d1,django/django,train,5,13,0.037606075397355776,0.01820776071806715,0.019398314679288625,0.03350028616355837,0.0218571744477534,0.011643111715804972
d1,django/django,train,5,33,0.018432063380331924,0.00892236246258989,0.009509700917742035,0.01321728480760815,0.0059574980227640045,0.007259786784844145
c1,python/cpython,test,5,29,0.017712087438069575,0.02224546059057976,-0.004533373152510185,0.007730344531745738,0.019067797453342118,-0.01133745292159638
c1,python/cpython,test,5,32,0.013081864517429313,0.017712087438069575,-0.004630222920640262,0.012902194438961583,0.019067797453342118,-0.006165603014380535
c1,python/cpython,test,5,58,0.04307087803832313,0.024705457738439802,0.018365420299883327,0.046417097843702765,0.023011019247226774,0.02340607859647599
c1,python/cpython,test,5,62,0.04307087803832313,0.009988174870700898,0.033082703167622234,0.046417097843702765,0.007398891706617908,0.03901820613708486
c1,python/cpython,test,5,88,0.008994869427460299,0.013683747869098246,-0.004688878441637947,0.009458615799032273,0.01432776196879202,-0.0048691461697597475
c1,python/cpython,test,5,102,0.013364886335980118,0.02830012989516028,-0.014935243559180161,0.008989507241757101,0.02011637739727628,-0.011126870155519178
c1,python/cpython,test,5,113,0.00812233902718855,0.028342112221720926,-0.020219773194532376,0.00921511094810196,0.015035865009868978,-0.005820754061767018
c1,python/cpython,test,5,135,0.00850905911628543,0.009161651064762445,-0.0006525919484770149,0.005443483790878195,0.008122789245486848,-0.0026793054546086527
c1,python/cpython,test,10,38,0.014429537571867494,0.02224546059057976,-0.007815923018712267,0.012902194438961583,0.019067797453342118,-0.006165603014380535
c1,python/cpython,test,10,62,0.04307087803832313,0.03681389761998945,0.0062569804183336825,0.046417097843702765,0.023011019247226774,0.02340607859647599
c1,python/cpython,test,10,110,0.028342112221720926,0.030874258564249447,-0.002532146342528522,0.015035865009868978,0.02011637739727628,-0.005080512387407301
c1,python/cpython,test,10,140,0.009234478063803626,0.01820649092260412,-0.008972012858800494,0.005443483790878195,0.013266069563513262,-0.007822585772635067
