sample,first_parent_index,sha,n0,m,delta_m,a,m_bin,delta_m_bin,a_bin,m_from_log,revert_commit,event_sample
0,0,2f0c62f5e6e290843f03c1fa70817c7a3c7fd661,235,0.0,,,0.0,,,0.0,0,0
1,25,4550beb695e9090259957d4ea1a7a8af9d7b2802,235,0.18723404255319148,0.18723404255319148,,1.0,1.0,,0.18723404255319148,0,0
2,50,7620cb70dbcbf71bca651e6f2eef3cbb05999272,235,0.3148936170212766,0.12765957446808512,-0.05957446808510636,1.0,0.0,-1.0,0.3148936170212766,0,0
3,75,642ca6ea687d8631eac8dce9e060e41d2738ca48,235,0.3702127659574468,0.05531914893617018,-0.07234042553191494,1.0,0.0,0.0,0.3702127659574468,0,0
4,100,542cf30e48881e9e206ec03c507335e5806d127d,235,0.40425531914893614,0.034042553191489355,-0.021276595744680826,1.0,0.0,0.0,0.40425531914893614,0,0
5,125,c99f07d3e4b463174d1b25cc813e2df76c182773,235,0.5106382978723404,0.10638297872340424,0.07234042553191489,1.0,0.0,0.0,0.5106382978723404,0,0
6,150,01dec1889127a3fc09eaa0dac905559740842992,235,0.5191489361702127,0.008510638297872353,-0.09787234042553189,1.0,0.0,0.0,0.5191489361702127,0,0
7,175,3a35977d5fbcc424688d32154d250bc0bae918d6,235,0.5702127659574469,0.051063829787234116,0.042553191489361764,1.0,0.0,0.0,0.5702127659574469,0,0
8,200,fa0ceb62f26579c3c7d9e18926af3e6f3e6e425c,235,0.574468085106383,0.004255319148936176,-0.04680851063829794,1.0,0.0,0.0,0.574468085106383,0,0
9,225,70f906c51ce49c485f1d355703e9cc3386b1cc2b,235,0.6085106382978723,0.0340425531914893,0.029787234042553123,1.0,0.0,0.0,0.6085106382978723,0,0
10,250,51bf0fdd9018d63b7bc09db52a66b726c2c4bad8,235,0.6212765957446809,0.012765957446808529,-0.02127659574468077,1.0,0.0,0.0,0.6212765957446809,0,0
11,273,735a4701d6d5e848241e7d7535db898efb62d400,235,0.6212765957446809,0.0,-0.012765957446808529,1.0,0.0,0.0,0.6212765957446809,0,0
