sample,first_parent_index,sha,n0,m,delta_m,a,m_bin,delta_m_bin,a_bin,m_from_log,revert_commit,event_sample
0,0,88140422a9d6585a7edfb2c265ebed5d0736df2c,192,0.0,,,0.0,,,0.0,0,0
1,25,df6843b15a4e052e7df5354ad776cb8afdc7e1cb,192,0.08333333333333333,0.08333333333333333,,1.0,1.0,,0.08333333333333333,0,0
2,50,225dccb2186f14f871695b6c4e0bfbcdb2e3aa28,192,0.19791666666666666,0.11458333333333333,0.03125,1.0,0.0,-1.0,0.19791666666666666,0,0
3,75,266c6375c6d687c3aad07962cb3f5bef7d39bbbf,192,0.3177083333333333,0.11979166666666666,0.005208333333333329,1.0,0.0,0.0,0.3177083333333333,0,0
4,100,0f9fd7685288f2f1b2cea4f0ccb4f5f479e563a4,192,0.421875,0.10416666666666669,-0.015624999999999972,1.0,0.0,0.0,0.421875,0,0
5,125,d9e1dc08c9b4eb0d6021360118daca87fa248400,192,0.4427083333333333,0.020833333333333315,-0.08333333333333337,1.0,0.0,0.0,0.4427083333333333,0,0
6,150,e73c3e6c249b89496b4f81fa20bb449911da79f1,192,0.46875,0.026041666666666685,0.00520833333333337,1.0,0.0,0.0,0.46875,0,0
7,175,2da955fb0619e18078c56b5bec9dae8c7d99d0e3,192,0.46875,0.0,-0.026041666666666685,1.0,0.0,0.0,0.46875,0,0
8,200,ff742581f49dbc370b3288dd53d35f843c564c66,192,0.5729166666666666,0.10416666666666663,0.10416666666666663,1.0,0.0,0.0,0.5729166666666666,0,0
9,203,2105caa49bae87c5809c274e407619a0de2639d1,192,0.5729166666666666,0.0,-0.10416666666666663,1.0,0.0,0.0,0.5729166666666666,0,0
